seed,population_size,total_distance,total_charge,total_epoch
190,100,674081.43,22,2000
191,100,673451.66,22,2000
192,100,672288.3200000001,22,2000
193,100,675292.5,22,2000
194,100,670813.16,22,2000
195,100,671619.16,22,2000
196,100,671114.9600000001,22,2000
197,100,674012.81,22,2000
198,100,670647.8400000001,22,2000
199,100,667005.04,21,2000

seed,population_size,total_distance,total_charge,total_epoch
190,200,666162.5800000001,21,2000
191,200,666016.56,21,2000
192,200,663214.7400000001,21,2000
193,200,663526.2800000001,21,2000
194,200,666193.1300000001,21,2000
195,200,666803.5700000001,22,2000
196,200,672634.9700000001,22,2000
197,200,664598.9100000001,21,2000
198,200,664168.7000000001,21,2000
199,200,666016.56,21,2000
